iter	Logloss
0	0.6557009452
1	0.6293529053
2	0.6064098642
3	0.5801873692
4	0.5569567043
5	0.5407345843
6	0.5214919913
7	0.5075682635
8	0.4946358686
9	0.4822064841
10	0.4751217063
11	0.4666653399
12	0.459386697
13	0.4464903172
14	0.439035529
15	0.4312372698
16	0.4215939418
17	0.4155748814
18	0.4103790043
19	0.4042154345
20	0.3990552891
21	0.393823264
22	0.3859874595
23	0.3842454856
24	0.3806241956
25	0.3789429735
26	0.3760109994
27	0.3732071446
28	0.3705973053
29	0.3681245052
30	0.3632704947
31	0.3600624084
32	0.3563392944
33	0.3532509984
34	0.351158892
35	0.3495587965
36	0.3476008911
37	0.3457929775
38	0.3429134369
39	0.3399203339
40	0.3386416975
41	0.3347384796
42	0.3306901725
43	0.3275732553
44	0.3260244991
45	0.3231650587
46	0.3216320387
47	0.3200905217
48	0.318607387
49	0.3178243081
50	0.3159833134
51	0.3143783395
52	0.3133286176
53	0.3106916896
54	0.3088443887
55	0.306299118
56	0.3054712786
57	0.3036384517
58	0.3007664773
59	0.2989724928
60	0.2983671483
61	0.2973767569
62	0.2957824227
63	0.2941609126
64	0.2933937269
65	0.2919518803
66	0.2910991669
67	0.2901969604
68	0.2882401777
69	0.2870627114
70	0.2857399881
71	0.2851226545
72	0.2845324206
73	0.2834227883
74	0.281618212
75	0.2800966099
76	0.279448155
77	0.2784483228
78	0.2767580741
79	0.2763661848
80	0.2751990858
81	0.2738117022
82	0.2731529476
83	0.2713155823
84	0.2707047446
85	0.2697274889
86	0.2686974836
87	0.2672888543
88	0.2664947826
89	0.2652103577
90	0.2641209521
91	0.2626366261
92	0.2620678264
93	0.26153142
94	0.2609911848
95	0.2598001197
96	0.2581409476
97	0.2571770216
98	0.2566432135
99	0.2561990269
100	0.2555422124
101	0.2547794309
102	0.2536803022
103	0.2525783866
104	0.252118224
105	0.2511878477
106	0.2507843225
107	0.2498436421
108	0.2495256904
109	0.2487640326
110	0.2482597384
111	0.2477794179
112	0.2470513371
113	0.2463219365
114	0.2453517173
115	0.2446466228
116	0.2441816439
117	0.2435840727
118	0.2426965245
119	0.2422754342
120	0.2419550574
121	0.2411388583
122	0.2404336679
123	0.239844392
124	0.2391535917
125	0.2385063509
126	0.2381908711
127	0.2377655138
128	0.2372799715
129	0.2368406481
130	0.2363259713
131	0.2352567531
132	0.2347648076
133	0.2344177344
134	0.2338245098
135	0.2332938919
136	0.2323040183
137	0.2318916659
138	0.2312319979
139	0.230933124
140	0.2303773008
141	0.230058815
142	0.2294506106
143	0.2290517022
144	0.228585507
145	0.2283043518
146	0.2279661778
147	0.2275880171
148	0.2272547498
149	0.2267199925
150	0.2261830488
151	0.2258053305
152	0.2252976924
153	0.2248382023
154	0.2242277614
155	0.2236054884
156	0.222972386
157	0.2222641732
158	0.2218367865
159	0.2215127705
160	0.221178094
161	0.2207864369
162	0.2203370165
163	0.2197891333
164	0.2191991959
165	0.2184687903
166	0.2179707489
167	0.217545639
168	0.2171639502
169	0.2166824624
170	0.216267164
171	0.2156612342
172	0.2151943207
173	0.2147601602
174	0.2139940523
175	0.2135668259
176	0.2130999647
177	0.2127304001
178	0.2122171293
179	0.2114707118
180	0.2111252278
181	0.2106668876
182	0.2101373008
183	0.2096525399
184	0.2090293012
185	0.2085471856
186	0.2080097733
187	0.207365545
188	0.2067453025
189	0.206527904
190	0.2060027073
191	0.2055301143
192	0.2050214168
193	0.204616175
194	0.2042178061
195	0.2037110868
196	0.2033324945
197	0.2028164335
198	0.2024835499
199	0.2021160627
200	0.2017194018
201	0.2014108473
202	0.2010006213
203	0.2004304526
204	0.2000244043
205	0.199520668
206	0.1991335209
207	0.1988252117
208	0.1984897635
209	0.1981537519
210	0.1978961356
211	0.1975070125
212	0.1969101737
213	0.1965422538
214	0.1961588113
215	0.1957850462
216	0.1953342427
217	0.1951253706
218	0.1947765503
219	0.1944115012
220	0.1942527531
221	0.193631376
222	0.1932731519
223	0.1930443704
224	0.1926686314
225	0.1921220256
226	0.1918417456
227	0.191377533
228	0.1911193521
229	0.190827483
230	0.1904770072
231	0.1900751147
232	0.1897491161
233	0.1891684189
234	0.1886852177
235	0.1883447658
236	0.1881027625
237	0.1877074498
238	0.1871638205
239	0.1868250449
240	0.1863060008
241	0.1858079017
242	0.1853167627
243	0.1848043747
244	0.1844802889
245	0.1841424255
246	0.1838130613
247	0.1835016981
248	0.1831834739
249	0.1827712675
250	0.1824219753
251	0.1819584645
252	0.1815579965
253	0.1814613964
254	0.181015577
255	0.1806612037
256	0.1803608834
257	0.1799000746
258	0.1797731966
259	0.1793505096
260	0.1789408766
261	0.1785607877
262	0.1782779083
263	0.177962568
264	0.1775243312
265	0.1772424306
266	0.1768637052
267	0.1764870475
268	0.1760898557
269	0.1757323761
270	0.1754860012
271	0.1751903741
272	0.1749422171
273	0.1746651143
274	0.1744091067
275	0.1741301989
276	0.1738448486
277	0.1733565848
278	0.1728261337
279	0.1724886682
280	0.1720867964
281	0.1718284149
282	0.1715184217
283	0.171078477
284	0.1708032412
285	0.1704817025
286	0.1701276583
287	0.1698256738
288	0.1694415621
289	0.1691127265
290	0.1686338043
291	0.168237721
292	0.1678840866
293	0.1675846438
294	0.1672232655
295	0.1669753898
296	0.166628527
297	0.166365618
298	0.1660424216
299	0.1657314737
